Pomiar No,Date,Avg Noise Level,Avg Pat1 Power,Avg Pat2 Power
908,Mon May 13 07:00:31 2024,-115.0174218979021,-111.7534157054945,-110.5744709951049
1000,Mon May 13 08:53:56 2024,-115.2431766034965,-111.44406387142857,-110.28499882257742
547,Sun May 12 23:35:47 2024,-115.13096645754247,-111.62778629160839,-110.47930741218781
929,Mon May 13 07:26:25 2024,-115.01878454395606,-111.5342744958042,-110.39748697152848
816,Mon May 13 05:07:10 2024,-115.30443968211789,-111.70444944265734,-110.5796668001998
897,Mon May 13 06:46:58 2024,-115.18459796773227,-111.64921421298702,-110.5374995112887
828,Mon May 13 05:21:57 2024,-115.17911196893107,-111.57100967352646,-110.46082612237763
852,Mon May 13 05:51:31 2024,-115.1965323995005,-111.57247798331669,-110.49010549000998
942,Mon May 13 07:42:25 2024,-115.20885205104894,-111.48282968481517,-110.40171568541459
813,Mon May 13 05:03:29 2024,-115.21743619500499,-111.59707085194805,-110.51763359600399
